PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
# L1 Data Cache:
# Load-Hits:             87566202   87.54%
# Load-Misses:           12467899   12.46%
# Load-Accesses:        100034101  100.00%
# 
# Store-Hits:               29134   90.20%
# Store-Misses:              3166    9.80%
# Store-Accesses:           32300  100.00%
# 
# Total-Hits:            87595336   87.54%
# Total-Misses:          12471065   12.46%
# Total-Accesses:       100066401  100.00%

#
# LOAD stats
#
NumItems 3305
DATA:START
#  counters
# iaddr          : dcache:miss        dcache:hit
0x00000000004003ac:            1            0
0x00000000004003b8:            0            0
0x00000000004003c1:            0            1
0x00000000004003d0:            0            1
0x00000000004003d6:            0            1
0x00000000004003e0:            1            0
0x00000000004003e6:            0            0
0x0000000000400405:            1            0
0x000000000040040d:            0            0
0x000000000040040e:            0            0
0x0000000000400424:            0            0
0x0000000000400435:            0            0
0x0000000000400445:            0            1
0x0000000000400446:            0            1
0x0000000000400465:            0            0
0x0000000000400482:            0            1
0x0000000000400483:            0            1
0x00000000004004a0:            1            0
0x00000000004004a9:            0            0
0x00000000004004ad:            0            0
0x00000000004004b2:            0            1
0x00000000004004b3:            0            0
0x00000000004004ba:            0            1
0x00000000004004c0:            0            1
0x00000000004004d4:            0            0
0x00000000004004dd:            0            0
0x00000000004004ed:            0            0
0x0000000000400535:            0            0
0x000000000040054b:            0            0
0x000000000040057b:      6233952     43771048
0x000000000040058e:      6231676     43773324
0x00000000004005bd:            1            0
0x00000000004005be:            0            1
0x00000000004005c0:            0            0
0x00000000004005c5:            0            0
0x00000000004005ca:            0            0
0x00000000004005cf:            0            0
0x00000000004005d8:            0            0
0x00000000004005e0:            0            0
0x00000000004005ee:            0            0
0x0000000000400609:            1            0
0x000000000040061a:            0            1
0x000000000040061b:            0            1
0x000000000040061c:            0            1
0x000000000040061e:            0            1
0x0000000000400620:            0            1
0x0000000000400622:            0            1
0x0000000000400624:            0            1
0x000000000040063c:            0            1
0x00007f02aaf3f3d0:            0            1
0x00007f02aaf3f3d6:            0            1
0x00007f02aaf3f420:            1            0
0x00007f02aaf3f426:            0            0
0x00007f02aaf41980:            0            0
0x00007f02aaf41982:            1            0
0x00007f02aaf41988:            0            0
0x00007f02aaf4198b:            0            0
0x00007f02aaf419ae:            0            1
0x00007f02aaf419b9:            0            0
0x00007f02aaf419be:            0            1
0x00007f02aaf419cc:            0            0
0x00007f02aaf419e3:            0            1
0x00007f02aaf419ea:            0            1
0x00007f02aaf41a41:            0            0
0x00007f02aaf41a4f:            0            0
0x00007f02aaf41a56:            0            0
0x00007f02aaf41a63:            0            0
0x00007f02aaf41a76:            0            0
0x00007f02aaf41a84:            0            0
0x00007f02aaf41a8b:            0            1
0x00007f02aaf41a8c:            0            0
0x00007f02aaf41a99:            0            1
0x00007f02aaf41a9a:            0            0
0x00007f02aaf41aa1:            0            1
0x00007f02aaf41aa3:            0            1
0x00007f02aaf41be0:            0            1
0x00007f02aaf41be7:            1            0
0x00007f02aaf41bfc:            0            0
0x00007f02aaf41c03:            0            1
0x00007f02aaf41c20:            0            0
0x00007f02aaf41c22:            0            0
0x00007f02aaf41c27:            0            0
0x00007f02aaf41c2b:            0            0
0x00007f02aaf41c33:            1            0
0x00007f02aaf41c43:            0            0
0x00007f02aaf41c4d:            0            0
0x00007f02aaf41c57:            1            0
0x00007f02aaf41c65:            0            0
0x00007f02aaf41c6c:            0            0
0x00007f02aaf41c73:            0            0
0x00007f02aaf41c80:            0            0
0x00007f02aaf41c88:            0            0
0x00007f02aaf41c92:            0            0
0x00007f02aaf41cb5:            1            3
0x00007f02aaf41cd6:            0            0
0x00007f02aaf41ce2:            0            0
0x00007f02aaf41cfa:            1            0
0x00007f02aaf41d07:            0            0
0x00007f02aaf41d0e:            0            0
0x00007f02aaf41d2a:            0            1
0x00007f02aaf41d37:            0            0
0x00007f02aaf41d3e:            0            0
0x00007f02aaf41d43:            0            0
0x00007f02aaf41d4c:            0            1
0x00007f02aaf41d4d:            0            1
0x00007f02aaf41d4e:            0            1
0x00007f02aaf41d50:            0            1
0x00007f02aaf41d52:            0            1
0x00007f02aaf41d58:            1            0
0x00007f02aaf41d5f:            0            0
0x00007f02aaf41d69:            0            1
0x00007f02aaf41d6c:            1            0
0x00007f02aaf41d73:            0            1
0x00007f02aaf41d7d:            0            0
0x00007f02aaf41dd0:            0            0
0x00007f02aaf41dd2:            0            0
0x00007f02aaf41dd4:            0            0
0x00007f02aaf41dd6:            0            0
0x00007f02aaf41dda:            0            0
0x00007f02aaf41de2:            1            0
0x00007f02aaf41de9:            0            0
0x00007f02aaf41dee:            0            0
0x00007f02aaf41df2:            0            0
0x00007f02aaf41e00:            0            0
0x00007f02aaf41e13:            0            0
0x00007f02aaf41e1e:            0            0
0x00007f02aaf41e23:            0            1
0x00007f02aaf41e2a:            0            1
0x00007f02aaf41e40:            1            0
0x00007f02aaf41e47:            0            1
0x00007f02aaf41e4c:            0            1
0x00007f02aaf41e50:            1            0
0x00007f02aaf41e53:            0            0
0x00007f02aaf41e55:            0            1
0x00007f02aaf41e5c:            1            0
0x00007f02aaf41e78:            0            0
0x00007f02aaf41e81:            1            0
0x00007f02aaf41e8a:            0            0
0x00007f02aaf41e8f:            1            0
0x00007f02aaf41e98:            0            0
0x00007f02aaf41ea2:            0            0
0x00007f02aaf41eab:            0            1
0x00007f02aaf41eb2:            0            1
0x00007f02aaf41eb7:            0            1
0x00007f02aaf41ebb:            0            1
0x00007f02aaf41ebe:            0            1
0x00007f02aaf41ec3:            0            0
0x00007f02aaf41ec7:            0            0
0x00007f02aaf42102:            0            0
0x00007f02aaf4210b:            0            0
0x00007f02aaf42139:            0            1
0x00007f02aaf4214b:            0            0
0x00007f02aaf42151:            0            0
0x00007f02aaf42157:            0            0
0x00007f02aaf4215d:            0            0
0x00007f02aaf42163:            0            1
0x00007f02aaf42184:            0            0
0x00007f02aaf4218a:            0            0
0x00007f02aaf42190:            0            0
0x00007f02aaf42197:            0            1
0x00007f02aaf42198:            0            1
0x00007f02aaf42229:            0            1
0x00007f02aaf42239:            0            0
0x00007f02aaf42243:            0            1
0x00007f02aaf42250:            0            0
0x00007f02aaf42269:            0            0
0x00007f02aaf4228e:            0            0
0x00007f02aaf42294:            0            0
0x00007f02aaf4229a:            0            0
0x00007f02aaf42323:            1            0
0x00007f02aaf4fff0:            0            1
0x00007f02aaf4fff7:            1            0
0x00007f02aaf4fffe:            1            0
0x00007f02aaf50002:            1            0
0x00007f02aaf50005:            1            0
0x00007f02aaf50009:            0            1
0x00007f02aaf50014:            0            0
0x00007f02aaf50018:            1            0
0x00007f02aaf50026:            0            0
0x00007f02aaf5002a:            0            1
0x00007f02aaf5002e:            0            1
0x00007f02aaf5003c:            0            0
0x00007f02aaf50040:            0            1
0x00007f02aaf56970:            0            0
0x00007f02aaf56976:            0            1
0x00007f02aaf56983:            0            0
0x00007f02aaf56987:            0            0
0x00007f02aaf5698b:            0            0
0x00007f02aaf5698f:            0            0
0x00007f02aaf56993:            0            0
0x00007f02aaf5699c:            0            1
0x00007f02aaf569a9:            0            0
0x00007f02aaf569ad:            0            1
0x00007f02aaf569b1:            0            1
0x00007f02aaf569be:            0            0
0x00007f02aaf569d4:            0            0
0x00007f02aaf569e2:            0            0
0x00007f02aaf569ef:            0            0
0x00007f02aaf569f4:            0            1
0x00007f02aaf569f5:            0            1
0x00007f02aaf5c070:            0            0
0x00007f02aaf5c072:            0            0
0x00007f02aaf5c077:            0            0
0x00007f02aaf5c07b:            0            0
0x00007f02aaf5c082:            0            0
0x00007f02aaf5c087:            1            0
0x00007f02aaf5c090:            2            0
0x00007f02aaf5c0a9:            0            0
0x00007f02aaf5c0ad:            0            1
0x00007f02aaf5c0cf:            0            1
0x00007f02aaf5c0d6:            0            0
0x00007f02aaf5c0f8:            1            0
0x00007f02aaf5c106:            0            0
0x00007f02aaf5c130:            0            1
0x00007f02aaf5c134:            0            1
0x00007f02aaf5c13e:            0            1
0x00007f02aaf5c147:            0            0
0x00007f02aaf5c190:            0            0
0x00007f02aaf5c1f0:            0            0
0x00007f02aaf5c1f8:            0            0
0x00007f02aaf5c200:            1            0
0x00007f02aaf5c209:            0            0
0x00007f02aaf5c219:            1            0
0x00007f02aaf5c226:            1            0
0x00007f02aaf5c240:            1            0
0x00007f02aaf5c287:            0            1
0x00007f02aaf5c28a:            0            0
0x00007f02aaf5c2c2:            0            0
0x00007f02aaf5c2c9:            1            0
0x00007f02aaf5c2d1:            0            1
0x00007f02aaf5c2da:            0            0
0x00007f02aaf5c2e9:            0            1
0x00007f02aaf5c2fc:            0            1
0x00007f02aaf5c2fd:            0            1
0x00007f02aaf5c2fe:            0            1
0x00007f02aaf5c308:            0            0
0x00007f02aaf5c3b0:            0            0
0x00007f02aaf5c3b5:            0            0
0x00007f02aaf5c3b9:            0            0
0x00007f02aaf5c3c4:            0            0
